url;query;clicks;impressions;position;title_optimized;h1_optimized;h2_optimized;meta_description_optimized;content_optimized;overall_optimized;search_volume;keyword_difficulty;cpc
https://anacondafightwear.co/blogs/news/knee-brace-for-acl-injuries;what type of knee brace is best for torn acl support;7;677;8.273.264.401.772.520;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;0;0;0
https://anacondafightwear.co/blogs/news/knee-brace-for-acl-injuries;best knee brace for acl injury;5;176;821.590.909.090.909;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;0;0;0
https://anacondafightwear.co/products/anaconda-leg-recovery-sleeve;leg recovery sleeves;6;4290;8.093.706.293.706.290;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;0;0;0
https://anacondafightwear.co/blogs/news/knee-brace-for-acl-injuries;knee brace for acl tear;5;1315;10.118.631.178.707.200;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;0;0;0
https://anacondafightwear.co/products/anaconda-knee-brace-for-new-product-page;jiu jitsu knee brace;8;771;11.826.199.740.596.600;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;0;0;0
https://anacondafightwear.co/blogs/news/knee-brace-for-acl-injuries;best knee brace for acl tear;9;443;8.054.176.072.234.760;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;0;0;0
https://anacondafightwear.co/products/anaconda-shoulder-brace;shoulder brace to prevent dislocation during sports;10;655;8.644.274.809.160.300;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;0;0;0
https://anacondafightwear.co/products/anaconda-knee-brace-for-new-product-page;bjj knee brace;10;1215;10.807.407.407.407.400;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;0;0;0
https://anacondafightwear.co/products/anaconda-shoulder-brace;shoulder brace;310;63435;10.375.581.303.696.600;TRUE;TRUE;FALSE;TRUE;FALSE;TRUE;0;0;0
https://anacondafightwear.co/products/anaconda-knee-recovery-pro;best knee recovery device;5;128;965.625;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;0;0;0
